pin,address,lat,lon
,1100 CHICAGO AVE,41.89440979,-87.80334476
,523 S TAYLOR AVE,41.87907675,-87.77836642
,136 ADAMS ST,41.87823058,-87.77887188
16051000130000,1234 EDMER AVE,41.9085691,-87.78435549
16051000140000,1230 EDMER AVE,41.90846533,-87.78433053
16051000150000,1226 EDMER AVE,41.90835497,-87.78433148
16051000160000,1222 EDMER AVE,41.9082446,-87.78433242
16051000170000,1220 EDMER AVE,41.90813427,-87.78434218
16051000180000,1216 EDMER AVE,41.90803043,-87.78435129
16051000190000,1212 EDMER AVE,41.90790706,-87.78434413
16051000200000,1210 EDMER AVE,41.90780313,-87.78433621
16051000210000,1206 EDMER AVE,41.90769272,-87.78432834
16051000220000,1204 EDMER AVE,41.90758896,-87.78435507
16051000230000,1200 EDMER AVE,41.90747208,-87.78434785
16051000240000,1235 N RIDGELAND AVE,41.90856623,-87.78375585
16051000250000,1231 N RIDGELAND AVE,41.90845582,-87.78374798
16051000260000,1227 N RIDGELAND AVE,41.90835836,-87.78368774
16051000270000,1225 N RIDGELAND AVE,41.908248,-87.78368868
16051000280000,1221 N RIDGELAND AVE,41.90815059,-87.78368952
16051000290000,1217 N RIDGELAND AVE,41.90802731,-87.78369939
16051000300000,1213 N RIDGELAND AVE,41.90792329,-87.78367385
16051000340000,1201 N RIDGELAND AVE,41.90747522,-87.78365185
16051000350000,1211 N RIDGELAND AVE,41.90779997,-87.78367491
16051000360000,1205 N RIDGELAND AVE,41.9075988,-87.78370306
16051000380000,6325 W NORTH AVE,41.90878018,-87.78446328
16051000390000,6305 W NORTH AVE,41.90878742,-87.78372394
16051010010000,6249 W NORTH AVE,41.90883438,-87.78304002
16051010050000,6235 W NORTH AVE,41.90885989,-87.78249361
16051010060000,6205 W NORTH AVE,41.90885408,-87.78240224
16051010080000,1230 N RIDGELAND AVE,41.90858928,-87.78310792
16051010090000,1228 N RIDGELAND AVE,41.90847838,-87.7829961
16051010100000,1224 N RIDGELAND AVE,41.90836801,-87.78299705
16051010110000,1222 N RIDGELAND AVE,41.90826421,-87.78301556
16051010120000,1220 N RIDGELAND AVE,41.9081604,-87.78303349
16051010130000,1216 N RIDGELAND AVE,41.90804351,-87.78302568
16051010140000,1212 N RIDGELAND AVE,41.90793311,-87.7830184
16051010150000,1210 N RIDGELAND AVE,41.9078227,-87.78301054
16051010160000,1206 N RIDGELAND AVE,41.90770585,-87.78301155
16051010170000,1204 N RIDGELAND AVE,41.90758249,-87.7830038
16051010180000,1200 N RIDGELAND AVE,41.9074916,-87.78301339
16051010190000,1231 N HARVEY AVE,41.90859251,-87.78242952
16051010200000,1227 N HARVEY AVE,41.90848206,-87.78241344
16051010210000,1225 N HARVEY AVE,41.90838465,-87.78241428
16051010220000,1223 N HARVEY AVE,41.90826785,-87.78242409
16051010230000,1221 N HARVEY AVE,41.90816392,-87.78241617
16051010240000,1217 N HARVEY AVE,41.90806003,-87.78241707
16051010250000,1213 N HARVEY AVE,41.90793654,-87.78238348
16051010260000,1211 N HARVEY AVE,41.90783909,-87.7823755
16051010270000,1207 N HARVEY AVE,41.90771572,-87.78236776
16051010280000,1205 N HARVEY AVE,41.9076054,-87.78237751
16051010290000,1201 N HARVEY AVE,41.90748212,-87.78238738
16051020080000,1230 N HARVEY AVE,41.90863112,-87.78182952
16051020090000,1228 N HARVEY AVE,41.90851485,-87.78184638
16051020100000,1226 N HARVEY AVE,41.90842342,-87.78184834
16051020110000,1222 N HARVEY AVE,41.9083258,-87.78180572
16051020120000,1220 N HARVEY AVE,41.90824155,-87.78179764
16051020130000,1218 N HARVEY AVE,41.90814401,-87.78177263
16051020140000,1214 N HARVEY AVE,41.90805947,-87.78175574
16051020150000,1212 N HARVEY AVE,41.90796223,-87.78179182
16051020160000,1233 N LOMBARD AVE,41.90862138,-87.78115241
16051020170000,1229 N LOMBARD AVE,41.90852381,-87.7811186
16051020180000,1227 N LOMBARD AVE,41.90843287,-87.78111939
16051020190000,1225 N LOMBARD AVE,41.90834837,-87.7811113
16051020200000,1221 N LOMBARD AVE,41.90825125,-87.78112095
16051020210000,1219 N LOMBARD AVE,41.90816032,-87.78112173
16051020220000,1215 N LOMBARD AVE,41.90805,-87.7811315
16051020230000,1213 N LOMBARD AVE,41.90797202,-87.78113217
16051020240000,222 LE MOYNE PKWY,41.90767731,-87.78191585
16051020250000,220 LE MOYNE PKWY,41.9076702,-87.78178552
16051020260000,216 LE MOYNE PKWY,41.90770836,-87.78163719
16051020270000,214 LE MOYNE PKWY,41.90771422,-87.78150851
16051020280000,212 LE MOYNE PKWY,41.90771367,-87.78139517
16051020290000,208 LE MOYNE PKWY,41.90771305,-87.78126478
16051020300000,206 LE MOYNE PKWY,41.9077189,-87.78113435
16051020310000,202 LE MOYNE PKWY,41.90771823,-87.78099516
16051020320000,6201 W NORTH AVE,41.90888769,-87.78119888
16051030010000,1236 N LOMBARD AVE,41.90881133,-87.78066365
16051030020000,6145 W NORTH AVE,41.90901658,-87.78040127
16051030080000,1230 N LOMBARD AVE,41.90863326,-87.78051391
16051030090000,1228 N LOMBARD AVE,41.90854104,-87.78050707
16051030100000,1226 N LOMBARD AVE,41.90844005,-87.78048798
16051030110000,1224 N LOMBARD AVE,41.90834798,-87.78046058
16051030120000,1220 N LOMBARD AVE,41.90824707,-87.78045793
16051030130000,1218 N LOMBARD AVE,41.90816685,-87.78045862
16051030140000,1216 N LOMBARD AVE,41.90807484,-87.78044355
16051030150000,1212 N LOMBARD AVE,41.90797969,-87.7804479
16051030160000,1231 N HAYES AVE,41.90864177,-87.77985016
16051030170000,1229 N HAYES AVE,41.90854984,-87.77985095
16051030180000,1227 N HAYES AVE,41.90844894,-87.77985182
16051030190000,1225 N HAYES AVE,41.90835975,-87.77985259
16051030200000,1221 N HAYES AVE,41.90826477,-87.77984108
16051030210000,1219 N HAYES AVE,41.90817284,-87.77984187
16051030220000,1215 N HAYES AVE,41.90807756,-87.7798192
16051030230000,1213 N HAYES AVE,41.90799755,-87.77981167
16051030240000,152 LE MOYNE PKWY,41.90767471,-87.78059795
16051030250000,150 LE MOYNE PKWY,41.90768603,-87.78046629
16051030260000,146 LE MOYNE PKWY,41.90769433,-87.78032702
16051030270000,142 LE MOYNE PKWY,41.9076938,-87.78021602
16051030280000,140 LE MOYNE PKWY,41.90769619,-87.78009267
16051030290000,138 LE MOYNE PKWY,41.90769554,-87.77995759
16051030300000,134 LE MOYNE PKWY,41.90769765,-87.77982601
