pin,year,class,char_yrblt
16051000130000,2020,203,1930.0
16051000130000,2021,203,1930.0
16051000130000,2022,203,1930.0
16051000130000,2023,203,1930.0
16051000130000,2024,203,1930.0
16051000130000,2025,203,1930.0
16051000130000,2026,203,1930.0
16051000140000,2020,203,1926.0
16051000140000,2021,203,1926.0
16051000140000,2022,203,1926.0
16051000140000,2023,204,1926.0
16051000140000,2024,204,1926.0
16051000140000,2025,204,1926.0
16051000140000,2026,204,1926.0
16051000150000,2020,204,1928.0
16051000150000,2021,204,1928.0
16051000150000,2022,204,1928.0
16051000150000,2023,204,1928.0
16051000150000,2024,204,1928.0
16051000150000,2025,204,1928.0
16051000150000,2026,204,1928.0
16051000160000,2020,204,1926.0
16051000160000,2021,204,1926.0
16051000160000,2022,204,1926.0
16051000160000,2023,204,1926.0
16051000160000,2024,204,1926.0
16051000160000,2025,204,1926.0
16051000160000,2026,204,1926.0
16051000170000,2020,204,1926.0
16051000170000,2021,204,1926.0
16051000170000,2022,204,1926.0
16051000170000,2023,204,1926.0
16051000170000,2024,204,1926.0
16051000170000,2025,204,1926.0
16051000170000,2026,204,1926.0
16051000180000,2020,204,1926.0
16051000180000,2021,204,1926.0
16051000180000,2022,204,1926.0
16051000180000,2023,204,1926.0
16051000180000,2024,204,1926.0
16051000180000,2025,204,1926.0
16051000180000,2026,204,1926.0
16051000190000,2020,204,1927.0
16051000190000,2021,204,1927.0
16051000190000,2022,204,1927.0
16051000190000,2023,204,1927.0
16051000190000,2024,204,1927.0
16051000190000,2025,204,1927.0
16051000190000,2026,204,1927.0
16051000200000,2020,204,1927.0
16051000200000,2021,204,1927.0
16051000200000,2022,204,1927.0
16051000200000,2023,204,1927.0
16051000200000,2024,204,1927.0
16051000200000,2025,204,1927.0
16051000200000,2026,204,1927.0
16051000210000,2020,204,1926.0
16051000210000,2021,204,1926.0
16051000210000,2022,204,1926.0
16051000210000,2023,204,1926.0
16051000210000,2024,204,1926.0
16051000210000,2025,204,1926.0
16051000210000,2026,204,1926.0
16051000220000,2020,205,1926.0
16051000220000,2021,205,1926.0
16051000220000,2022,205,1926.0
16051000220000,2023,205,1926.0
16051000220000,2024,205,1926.0
16051000220000,2025,205,1926.0
16051000220000,2026,205,1926.0
16051000230000,2020,206,1926.0
16051000230000,2021,206,1926.0
16051000230000,2022,206,1926.0
16051000230000,2023,206,1926.0
16051000230000,2024,206,1926.0
16051000230000,2025,206,1926.0
16051000230000,2026,206,1926.0
16051000240000,2020,204,1926.0
16051000240000,2021,204,1926.0
16051000240000,2022,204,1926.0
16051000240000,2023,204,1926.0
16051000240000,2024,204,1926.0
16051000240000,2025,204,1926.0
16051000240000,2026,204,1926.0
16051000250000,2020,204,1931.0
16051000250000,2021,204,1931.0
16051000250000,2022,204,1931.0
16051000250000,2023,204,1931.0
16051000250000,2024,204,1931.0
16051000250000,2025,204,1931.0
16051000250000,2026,204,1931.0
16051000260000,2020,205,1926.0
16051000260000,2021,205,1926.0
16051000260000,2022,205,1926.0
16051000260000,2023,205,1926.0
16051000260000,2024,205,1926.0
16051000260000,2025,205,1926.0
16051000260000,2026,205,1926.0
16051000270000,2020,206,1925.0
16051000270000,2021,206,1925.0
16051000270000,2022,206,1925.0
16051000270000,2023,206,1925.0
16051000270000,2024,206,1925.0
16051000270000,2025,206,1925.0
16051000270000,2026,206,1925.0
16051000280000,2020,205,1926.0
16051000280000,2021,205,1927.0
16051000280000,2022,205,1927.0
16051000280000,2023,205,1927.0
16051000280000,2024,205,1927.0
16051000280000,2025,205,1927.0
16051000280000,2026,205,1927.0
16051000290000,2020,206,1926.0
16051000290000,2021,206,1926.0
16051000290000,2022,206,1926.0
16051000290000,2023,206,1926.0
16051000290000,2024,206,1926.0
16051000290000,2025,206,1926.0
16051000290000,2026,206,1926.0
16051000300000,2020,205,1927.0
16051000300000,2021,205,1927.0
16051000300000,2022,205,1927.0
16051000300000,2023,205,1927.0
16051000300000,2024,205,1927.0
16051000300000,2025,205,1927.0
16051000300000,2026,205,1927.0
16051000340000,2020,206,1928.0
16051000340000,2021,206,1928.0
16051000340000,2022,206,1928.0
16051000340000,2023,206,1928.0
16051000340000,2024,206,1928.0
16051000340000,2025,206,1928.0
16051000340000,2026,206,1928.0
16051000350000,2020,205,1926.0
16051000350000,2021,205,1926.0
16051000350000,2022,205,1926.0
16051000350000,2023,205,1926.0
16051000350000,2024,205,1926.0
16051000350000,2025,205,1926.0
16051000350000,2026,205,1926.0
16051000360000,2020,206,1926.0
16051000360000,2021,206,1926.0
16051000360000,2022,206,1926.0
16051000360000,2023,206,1926.0
16051000360000,2024,206,1926.0
16051000360000,2025,206,1926.0
16051000360000,2026,206,1926.0
16051000380000,2020,517,
16051000380000,2021,517,
16051000380000,2022,517,
16051000380000,2023,517,
16051000380000,2024,517,
16051000380000,2025,517,
16051000380000,2026,517,
16051000390000,2020,517,
16051000390000,2021,517,
16051000390000,2022,517,
16051000390000,2023,517,
16051000390000,2024,517,
16051000390000,2025,517,
16051000390000,2026,517,
16051010010000,2020,522,
16051010010000,2021,522,
16051010010000,2022,522,
16051010010000,2023,522,
16051010010000,2024,522,
16051010010000,2025,522,
16051010010000,2026,522,
16051010020000,2020,EX,
16051010020000,2021,EX,
16051010020000,2022,EX,
16051010020000,2023,EX,
16051010020000,2024,EX,
16051010020000,2025,EX,
16051010020000,2026,EX,
16051010030000,2020,EX,
16051010030000,2021,EX,
16051010030000,2022,EX,
16051010030000,2023,EX,
16051010030000,2024,EX,
16051010030000,2025,EX,
16051010030000,2026,EX,
16051010040000,2020,EX,
16051010040000,2021,EX,
16051010040000,2022,EX,
16051010040000,2023,EX,
16051010040000,2024,EX,
16051010040000,2025,EX,
16051010040000,2026,EX,
16051010050000,2020,EX,
16051010050000,2021,EX,
16051010050000,2022,EX,
16051010050000,2023,EX,
16051010050000,2024,EX,
16051010050000,2025,EX,
16051010050000,2026,EX,
16051010060000,2020,EX,
16051010060000,2021,EX,
16051010060000,2022,EX,
16051010060000,2023,EX,
16051010060000,2024,EX,
16051010060000,2025,EX,
16051010060000,2026,EX,
16051010070000,2020,EX,
16051010070000,2021,EX,
16051010070000,2022,EX,
16051010070000,2023,EX,
16051010070000,2024,EX,
16051010070000,2025,EX,
16051010070000,2026,EX,
16051010080000,2020,205,1955.0
16051010080000,2021,205,1955.0
16051010080000,2022,205,1955.0
16051010080000,2023,205,1955.0
16051010080000,2024,205,1955.0
16051010080000,2025,205,1955.0
16051010080000,2026,205,1955.0
16051010090000,2020,203,1924.0
16051010090000,2021,203,1924.0
16051010090000,2022,203,1927.0
16051010090000,2023,203,1924.0
16051010090000,2024,203,1924.0
16051010090000,2025,203,1924.0
16051010090000,2026,203,1924.0
16051010100000,2020,204,1924.0
16051010100000,2021,204,1924.0
16051010100000,2022,204,1924.0
16051010100000,2023,204,1924.0
16051010100000,2024,204,1924.0
16051010100000,2025,204,1924.0
16051010100000,2026,204,1924.0
16051010110000,2020,203,1924.0
16051010110000,2021,203,1924.0
16051010110000,2022,203,1924.0
16051010110000,2023,203,1924.0
16051010110000,2024,203,1924.0
16051010110000,2025,203,1924.0
16051010110000,2026,203,1924.0
16051010120000,2020,204,1924.0
16051010120000,2021,204,1924.0
16051010120000,2022,204,1924.0
16051010120000,2023,204,1924.0
16051010120000,2024,204,1924.0
16051010120000,2025,204,1924.0
16051010120000,2026,204,1924.0
16051010130000,2020,203,1924.0
16051010130000,2021,203,1924.0
16051010130000,2022,203,1924.0
16051010130000,2023,203,1924.0
16051010130000,2024,203,1924.0
16051010130000,2025,203,1924.0
16051010130000,2026,203,1924.0
16051010140000,2020,204,1924.0
16051010140000,2021,204,1924.0
16051010140000,2022,204,1924.0
16051010140000,2023,204,1924.0
16051010140000,2024,204,1924.0
16051010140000,2025,204,1924.0
16051010140000,2026,204,1924.0
16051010150000,2020,203,1924.0
16051010150000,2021,203,1924.0
16051010150000,2022,203,1924.0
16051010150000,2023,203,1924.0
16051010150000,2024,203,1924.0
16051010150000,2025,203,1924.0
16051010150000,2026,203,1924.0
16051010160000,2020,204,1924.0
16051010160000,2021,204,1924.0
16051010160000,2022,204,1924.0
16051010160000,2023,204,1924.0
16051010160000,2024,204,1924.0
16051010160000,2025,204,1924.0
16051010160000,2026,204,1924.0
16051010170000,2020,204,1923.0
16051010170000,2021,204,1923.0
16051010170000,2022,204,1923.0
16051010170000,2023,204,1923.0
16051010170000,2024,204,1923.0
16051010170000,2025,204,1923.0
16051010170000,2026,204,1923.0
16051010180000,2020,205,1925.0
16051010180000,2021,205,1925.0
16051010180000,2022,205,1925.0
16051010180000,2023,205,1925.0
16051010180000,2024,205,1925.0
16051010180000,2025,205,1925.0
16051010180000,2026,205,1925.0
16051010190000,2020,204,1926.0
16051010190000,2021,204,1928.0
16051010190000,2022,204,1928.0
16051010190000,2023,204,1928.0
16051010190000,2024,204,1928.0
16051010190000,2025,204,1928.0
16051010190000,2026,204,1928.0
16051010200000,2020,204,1925.0
16051010200000,2021,204,1925.0
16051010200000,2022,204,1925.0
16051010200000,2023,204,1925.0
16051010200000,2024,204,1925.0
16051010200000,2025,204,1925.0
16051010200000,2026,204,1925.0
16051010210000,2020,204,1924.0
16051010210000,2021,204,1924.0
16051010210000,2022,204,1924.0
16051010210000,2023,204,1924.0
16051010210000,2024,204,1924.0
16051010210000,2025,204,1924.0
16051010210000,2026,204,1924.0
16051010220000,2020,203,1924.0
16051010220000,2021,203,1924.0
16051010220000,2022,203,1924.0
16051010220000,2023,203,1924.0
16051010220000,2024,203,1924.0
16051010220000,2025,203,1924.0
16051010220000,2026,203,1924.0
16051010230000,2020,204,1925.0
16051010230000,2021,204,1925.0
16051010230000,2022,204,1925.0
16051010230000,2023,204,1925.0
16051010230000,2024,204,1925.0
16051010230000,2025,204,1925.0
16051010230000,2026,204,1925.0
16051010240000,2020,204,1925.0
16051010240000,2021,204,1925.0
16051010240000,2022,204,1925.0
16051010240000,2023,204,1925.0
16051010240000,2024,204,1925.0
16051010240000,2025,204,1925.0
16051010240000,2026,204,1925.0
16051010250000,2020,204,1924.0
16051010250000,2021,204,1924.0
16051010250000,2022,204,1924.0
16051010250000,2023,204,1924.0
16051010250000,2024,204,1924.0
16051010250000,2025,204,1924.0
16051010250000,2026,204,1924.0
16051010260000,2020,203,1924.0
16051010260000,2021,203,1924.0
16051010260000,2022,203,1924.0
16051010260000,2023,203,1924.0
16051010260000,2024,203,1924.0
16051010260000,2025,203,1924.0
16051010260000,2026,203,1924.0
16051010270000,2020,204,1924.0
16051010270000,2021,204,1924.0
16051010270000,2022,204,1924.0
16051010270000,2023,204,1924.0
16051010270000,2024,204,1924.0
16051010270000,2025,204,1924.0
16051010270000,2026,203,1924.0
16051010280000,2020,203,1924.0
16051010280000,2021,203,1924.0
16051010280000,2022,203,1924.0
16051010280000,2023,203,1924.0
16051010280000,2024,203,1924.0
16051010280000,2025,203,1924.0
16051010280000,2026,203,1924.0
16051010290000,2020,205,1925.0
16051010290000,2021,205,1925.0
16051010290000,2022,205,1925.0
16051010290000,2023,205,1925.0
16051010290000,2024,205,1925.0
16051010290000,2025,205,1925.0
16051010290000,2026,205,1925.0
16051020080000,2020,203,1923.0
16051020080000,2021,203,1923.0
16051020080000,2022,203,1923.0
16051020080000,2023,203,1923.0
16051020080000,2024,203,1923.0
16051020080000,2025,203,1923.0
16051020080000,2026,203,1923.0
16051020090000,2020,203,1923.0
16051020090000,2021,203,1923.0
16051020090000,2022,203,1923.0
16051020090000,2023,203,1923.0
16051020090000,2024,203,1923.0
16051020090000,2025,203,1923.0
16051020090000,2026,203,1923.0
16051020100000,2020,205,1918.0
16051020100000,2021,205,1920.0
16051020100000,2022,205,1920.0
16051020100000,2023,205,1920.0
16051020100000,2024,205,1920.0
16051020100000,2025,205,1920.0
16051020100000,2026,205,1920.0
16051020110000,2020,203,1923.0
16051020110000,2021,203,1925.0
16051020110000,2022,203,1925.0
16051020110000,2023,203,1925.0
16051020110000,2024,203,1925.0
16051020110000,2025,203,1925.0
16051020110000,2026,203,1925.0
16051020120000,2020,205,1918.0
16051020120000,2021,205,1918.0
16051020120000,2022,205,1918.0
16051020120000,2023,205,1918.0
16051020120000,2024,205,1918.0
16051020120000,2025,205,1918.0
16051020120000,2026,205,1918.0
16051020130000,2020,206,1923.0
16051020130000,2021,206,1923.0
16051020130000,2022,206,1923.0
16051020130000,2023,206,1923.0
16051020130000,2024,206,1923.0
16051020130000,2025,206,1923.0
16051020130000,2026,206,1923.0
16051020140000,2020,204,1927.0
16051020140000,2021,204,1927.0
16051020140000,2022,204,1929.0
16051020140000,2023,204,1927.0
16051020140000,2024,204,1927.0
16051020140000,2025,204,1927.0
16051020140000,2026,204,1927.0
16051020150000,2020,205,1918.0
16051020150000,2021,205,1918.0
16051020150000,2022,205,1918.0
16051020150000,2023,205,1918.0
16051020150000,2024,205,1918.0
16051020150000,2025,205,1918.0
16051020150000,2026,205,1918.0
16051020160000,2020,203,1924.0
16051020160000,2021,203,1925.0
16051020160000,2022,203,1925.0
16051020160000,2023,203,1925.0
16051020160000,2024,203,1925.0
16051020160000,2025,203,1925.0
16051020160000,2026,203,1925.0
16051020170000,2020,203,1918.0
16051020170000,2021,203,1918.0
16051020170000,2022,203,1918.0
16051020170000,2023,203,1918.0
16051020170000,2024,203,1918.0
16051020170000,2025,203,1918.0
16051020170000,2026,203,1918.0
