pin,class,nbhd,mailed_bldg,mailed_land,mailed_tot,ap_lat,ap_lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,n_cards,lat,lon,coord_source,arcgis_name,parceltype
16051000130000,203,27010,49208,9792,59000,41.9085691,-87.78435549,1234 EDMER AVE,,1534.0,5440.0,1930.0,Single-Family,1.0,41.90857336738732,-87.78436278420443,arcgis_pin14,16051000130000,BaseParcel
16051000140000,204,27010,55208,9792,65000,41.90846533,-87.78433053,1230 EDMER AVE,,2341.0,5440.0,1926.0,Single-Family,1.0,41.908463662624925,-87.78435905876768,arcgis_pin14,16051000140000,BaseParcel
16051000150000,204,27010,62208,9792,72000,41.90835497,-87.78433148,1226 EDMER AVE,,3044.0,5440.0,1928.0,Single-Family,1.0,41.90835392994816,-87.7843553159093,arcgis_pin14,16051000150000,BaseParcel
16051000160000,204,27010,55208,9792,65000,41.9082446,-87.78433242,1222 EDMER AVE,,1813.0,5440.0,1926.0,Single-Family,1.0,41.90824419709358,-87.78435157101202,arcgis_pin14,16051000160000,BaseParcel
16051000170000,204,27010,57280,9720,67000,41.90813427,-87.78434218,1220 EDMER AVE,,2191.0,5400.0,1926.0,Single-Family,1.0,41.90813446486269,-87.7843478455263,arcgis_pin14,16051000170000,BaseParcel
16051000180000,204,27010,56280,9720,66000,41.90803043,-87.78435129,1216 EDMER AVE,,2236.0,5400.0,1926.0,Single-Family,1.0,41.90802473200367,-87.78434410064085,arcgis_pin14,16051000180000,BaseParcel
16051000190000,204,27010,48352,9648,58000,41.90790706,-87.78434413,1212 EDMER AVE,,1806.0,5360.0,1927.0,Single-Family,1.0,41.90791497230927,-87.7843403404308,arcgis_pin14,16051000190000,BaseParcel
16051000200000,204,27010,52352,9648,62000,41.90780313,-87.78433621,1210 EDMER AVE,,2228.0,5360.0,1927.0,Single-Family,1.0,41.90780523944903,-87.78433659614817,arcgis_pin14,16051000200000,BaseParcel
16051000210000,204,27010,61352,9648,71000,41.90769272,-87.78432834,1206 EDMER AVE,,2881.0,5360.0,1926.0,Single-Family,1.0,41.90769550720667,-87.78433287067224,arcgis_pin14,16051000210000,BaseParcel
16051000220000,205,27010,52424,9576,62000,41.90758896,-87.78435507,1204 EDMER AVE,,2038.0,5320.0,1926.0,Single-Family,1.0,41.90758577451781,-87.78432914527758,arcgis_pin14,16051000220000,BaseParcel
16051000230000,206,27010,74841,10159,85000,41.90747208,-87.78434785,1200 EDMER AVE,,3144.0,5644.0,1926.0,Single-Family,1.0,41.90747337954984,-87.78432531652268,arcgis_pin14,16051000230000,BaseParcel
16051000240000,204,27010,64200,10800,75000,41.90856623,-87.78375585,1235 N RIDGELAND AVE,,2982.0,6000.0,1926.0,Single-Family,1.0,41.90858044267823,-87.78377670541981,arcgis_pin14,16051000240000,BaseParcel
16051000250000,204,27010,56200,10800,67000,41.90845582,-87.78374798,1231 N RIDGELAND AVE,,2292.0,6000.0,1931.0,Single-Family,1.0,41.90847071096839,-87.78377309119296,arcgis_pin14,16051000250000,BaseParcel
16051000260000,205,27010,55200,10800,66000,41.90835836,-87.78368774,1227 N RIDGELAND AVE,,2167.0,6000.0,1926.0,Single-Family,1.0,41.908360979256415,-87.78376947696773,arcgis_pin14,16051000260000,BaseParcel
16051000270000,206,27010,61200,10800,72000,41.908248,-87.78368868,1225 N RIDGELAND AVE,,2246.0,6000.0,1925.0,Single-Family,1.0,41.90825124709217,-87.78376586275672,arcgis_pin14,16051000270000,BaseParcel
16051000280000,205,27010,54200,10800,65000,41.90815059,-87.78368952,1221 N RIDGELAND AVE,,1490.0,6000.0,1927.0,Single-Family,1.0,41.90814151492576,-87.7837622490911,arcgis_pin14,16051000280000,BaseParcel
16051000290000,206,27010,65200,10800,76000,41.90802731,-87.78369939,1217 N RIDGELAND AVE,,2417.0,6000.0,1926.0,Single-Family,1.0,41.90803178320735,-87.78375863382661,arcgis_pin14,16051000290000,BaseParcel
16051000300000,205,27010,55200,10800,66000,41.90792329,-87.78367385,1213 N RIDGELAND AVE,,2088.0,6000.0,1927.0,Single-Family,1.0,41.90792207894606,-87.78375500269522,arcgis_pin14,16051000300000,BaseParcel
16051000340000,206,27010,66541,11459,78000,41.90747522,-87.78365185,1201 N RIDGELAND AVE,,2444.0,6366.0,1928.0,Single-Family,1.0,41.907480515701195,-87.78374043988734,arcgis_pin14,16051000340000,BaseParcel
16051000350000,205,27010,55800,16200,72000,41.90779997,-87.78367491,1211 N RIDGELAND AVE,,2132.0,9000.0,1926.0,Single-Family,1.0,41.90781231868804,-87.7837513689723,arcgis_pin14,16051000350000,BaseParcel
16051000360000,206,27010,77800,16200,94000,41.9075988,-87.78370306,1205 N RIDGELAND AVE,,3394.0,9000.0,1926.0,Single-Family,1.0,41.90759620204197,-87.7837442503722,arcgis_pin14,16051000360000,BaseParcel
16051000380000,517,27010,132038,167096,299134,41.90878018,-87.78446328,6323 NORTH AVE,,,,,,,41.90884121262783,-87.78455965774937,arcgis_pin14,16051000380000,BaseParcel
16051000390000,517,27010,245214,201096,446310,41.90878742,-87.78372394,6315 NORTH AVE,,,,,,,41.90884946882659,-87.78388145601143,arcgis_pin14,16051000390000,BaseParcel
16051010010000,522,27030,72000,108000,180000,41.90883438,-87.78304002,6249 NORTH AVE,,,,,,,41.90885998694658,-87.78301790120449,arcgis_pin14,16051010010000,BaseParcel
16051010020000,EX,27030,0,0,0,,,6211 NORTH AVE,,,,,,,41.90886295990321,-87.78277359026393,arcgis_pin14,16051010020000,BaseParcel
16051010030000,EX,27030,0,0,0,,,6235 NORTH AVE,,,,,,,41.90886405634971,-87.7826817361546,arcgis_pin14,16051010030000,BaseParcel
16051010040000,EX,27030,0,0,0,,,6235 NORTH AVE,,,,,,,41.90886520781454,-87.78258992034425,arcgis_pin14,16051010040000,BaseParcel
16051010050000,EX,27030,0,0,0,41.90885989,-87.78249361,6205 NORTH AVE,,,,,,,41.9088663042904,-87.78249810359073,arcgis_pin14,16051010050000,BaseParcel
