bg_geoid,n_parcels,units,n_buildings_res,units_sf,bldgs_sf,units_small_mf,bldgs_small_mf,units_large_mf,bldgs_large_mf,units_estimated,units_large_mf_estmin,units_estmin,share_sf,share_small_mf,share_large_mf,category,category_sf100,category_sf90,category_estmin,HOUSING20,POP20
170318121001,282,386.0,260,230.0,230,66.0,25,90.0,5,0.0,90.0,386.0,0.5959,0.171,0.2332,mixed,mixed,mixed,mixed,373,962
170318121002,309,376.0,291,274.0,274,31.0,10,71.0,7,0.0,71.0,376.0,0.7287,0.0824,0.1888,mixed,mixed,mixed,mixed,395,1031
170318121003,326,428.0,290,257.0,257,65.0,29,106.0,4,0.0,106.0,428.0,0.6005,0.1519,0.2477,mixed,mixed,mixed,mixed,428,1083
170318121004,318,314.0,312,310.0,310,4.0,2,0.0,0,0.0,0.0,314.0,0.9873,0.0127,0.0,single_family,mixed,single_family,single_family,313,864
170318121005,274,277.0,262,261.0,261,0.0,0,16.0,1,0.0,16.0,277.0,0.9422,0.0,0.0578,mixed,mixed,single_family,mixed,274,823
170318122001,400,367.0,340,331.0,331,20.0,7,16.0,2,0.0,16.0,367.0,0.9019,0.0545,0.0436,mixed,mixed,single_family,mixed,347,1005
170318122002,299,290.0,290,290.0,290,0.0,0,0.0,0,0.0,0.0,290.0,1.0,0.0,0.0,single_family,single_family,single_family,single_family,292,861
170318122003,449,461.0,354,341.0,341,21.0,5,99.0,8,0.0,99.0,461.0,0.7397,0.0456,0.2148,mixed,mixed,mixed,mixed,435,1190
170318122004,404,352.0,322,313.0,313,18.0,6,21.0,3,0.0,21.0,352.0,0.8892,0.0511,0.0597,mixed,mixed,mixed,mixed,340,928
170318123011,423,456.0,75,44.0,44,29.0,14,383.0,17,11.0,379.0,452.0,0.0965,0.0636,0.8399,large_mf_7plus,large_mf_7plus,large_mf_7plus,large_mf_7plus,450,805
170318123012,560,2419.0,74,20.0,20,87.0,26,2312.0,28,370.0,1963.0,2070.0,0.0083,0.036,0.9558,large_mf_7plus,large_mf_7plus,large_mf_7plus,large_mf_7plus,2076,2669
