block_geoid,TRACTCE20,BLOCKGRPCE20,BLOCKCE20,HOUSING20,POP20,ALAND20,n_parcels,units,n_buildings_res,units_sf,bldgs_sf,units_small_mf,bldgs_small_mf,units_large_mf,bldgs_large_mf,units_estimated,units_large_mf_estmin,units_estmin,share_sf,share_small_mf,share_large_mf,category,category_sf100,category_sf90,category_estmin,bg_geoid,census_gap_units,census_gap
170318121001000,812100,1,1000,0,0,6003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_housing,no_housing,no_housing,no_housing,170318121001,0.0,False
170318121001001,812100,1,1001,2,4,5998,8.0,16.0,4.0,0.0,0.0,8.0,3.0,8.0,1.0,0.0,8.0,16.0,0.0,0.5,0.5,small_mf_2_6,small_mf_2_6,small_mf_2_6,small_mf_2_6,170318121001,-14.0,False
170318121001002,812100,1,1002,26,20,6050,4.0,33.0,1.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,33.0,33.0,0.0,0.0,1.0,large_mf_7plus,large_mf_7plus,large_mf_7plus,large_mf_7plus,170318121001,-7.0,False
170318121001003,812100,1,1003,8,27,4731,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,single_family,single_family,single_family,single_family,170318121001,0.0,False
170318121001004,812100,1,1004,8,10,4719,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,single_family,single_family,single_family,single_family,170318121001,0.0,False
170318121001005,812100,1,1005,8,27,4757,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,single_family,single_family,single_family,single_family,170318121001,0.0,False
170318121001006,812100,1,1006,16,50,9469,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,single_family,single_family,single_family,single_family,170318121001,0.0,False
170318121001007,812100,1,1007,26,60,4739,7.0,28.0,6.0,2.0,2.0,6.0,3.0,20.0,1.0,0.0,20.0,28.0,0.0714,0.2143,0.7143,large_mf_7plus,large_mf_7plus,large_mf_7plus,large_mf_7plus,170318121001,-2.0,False
170318121001008,812100,1,1008,22,54,10558,20.0,20.0,15.0,14.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,20.0,0.7,0.3,0.0,mixed,mixed,mixed,mixed,170318121001,2.0,False
170318121001009,812100,1,1009,0,0,1209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_housing,no_housing,no_housing,no_housing,170318121001,0.0,False
170318121001010,812100,1,1010,8,20,5152,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,single_family,single_family,single_family,single_family,170318121001,0.0,False
170318121001011,812100,1,1011,7,30,5154,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,single_family,single_family,single_family,single_family,170318121001,0.0,False
170318121001012,812100,1,1012,0,0,1468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_housing,no_housing,no_housing,no_housing,170318121001,0.0,False
170318121001013,812100,1,1013,0,0,1465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_housing,no_housing,no_housing,no_housing,170318121001,0.0,False
