bg_geoid,acs_release,pop,pop_moe,hispanic,hispanic_moe,nh_white,nh_white_moe,nh_black,nh_black_moe,nh_aian,nh_aian_moe,nh_asian,nh_asian_moe,nh_nhpi,nh_nhpi_moe,nh_other,nh_other_moe,nh_two_plus,nh_two_plus_moe
170318121001,acs2024_5yr,1459.0,552.0,114.0,145.0,511.0,178.0,762.0,501.0,0.0,13.0,8.0,14.0,0.0,13.0,0.0,13.0,64.0,83.0
170318121002,acs2024_5yr,665.0,267.0,75.0,81.0,404.0,227.0,141.0,82.0,0.0,13.0,15.0,17.0,0.0,13.0,0.0,13.0,30.0,39.0
170318121003,acs2024_5yr,909.0,267.0,144.0,113.0,617.0,221.0,104.0,75.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,44.0,53.0
170318121004,acs2024_5yr,658.0,228.0,178.0,169.0,446.0,141.0,17.0,20.0,0.0,13.0,10.0,16.0,0.0,13.0,0.0,13.0,7.0,12.0
170318121005,acs2024_5yr,923.0,373.0,10.0,16.0,499.0,193.0,347.0,289.0,0.0,13.0,16.0,20.0,0.0,13.0,0.0,13.0,51.0,77.0
170318122001,acs2024_5yr,1063.0,297.0,74.0,105.0,863.0,237.0,36.0,44.0,0.0,13.0,33.0,30.0,0.0,13.0,12.0,19.0,45.0,42.0
170318122002,acs2024_5yr,687.0,228.0,16.0,20.0,485.0,203.0,72.0,65.0,0.0,13.0,45.0,51.0,0.0,13.0,10.0,16.0,59.0,64.0
170318122003,acs2024_5yr,1056.0,318.0,127.0,146.0,632.0,213.0,49.0,52.0,12.0,21.0,82.0,65.0,0.0,13.0,0.0,13.0,154.0,127.0
170318122004,acs2024_5yr,953.0,301.0,86.0,124.0,535.0,249.0,227.0,115.0,0.0,13.0,38.0,57.0,13.0,25.0,0.0,13.0,54.0,55.0
170318123011,acs2024_5yr,875.0,358.0,214.0,190.0,471.0,204.0,39.0,59.0,0.0,13.0,151.0,186.0,0.0,13.0,0.0,13.0,0.0,13.0
170318123012,acs2024_5yr,2810.0,555.0,225.0,194.0,1862.0,548.0,326.0,171.0,0.0,13.0,263.0,204.0,0.0,13.0,48.0,75.0,86.0,111.0
170318123013,acs2024_5yr,1867.0,401.0,153.0,168.0,1079.0,350.0,329.0,149.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,306.0,190.0
170318123021,acs2024_5yr,704.0,190.0,103.0,86.0,506.0,168.0,56.0,53.0,0.0,13.0,5.0,9.0,0.0,13.0,13.0,21.0,21.0,35.0
170318123022,acs2024_5yr,1134.0,279.0,122.0,126.0,751.0,213.0,135.0,101.0,0.0,13.0,84.0,106.0,0.0,13.0,0.0,13.0,42.0,38.0
170318123023,acs2024_5yr,869.0,183.0,8.0,12.0,650.0,182.0,187.0,77.0,0.0,13.0,7.0,11.0,0.0,13.0,0.0,13.0,17.0,25.0
170318124001,acs2024_5yr,1216.0,258.0,50.0,51.0,954.0,231.0,0.0,13.0,0.0,13.0,138.0,110.0,0.0,13.0,0.0,13.0,74.0,92.0
170318124002,acs2024_5yr,895.0,237.0,46.0,45.0,700.0,221.0,107.0,109.0,0.0,13.0,33.0,38.0,0.0,13.0,0.0,13.0,9.0,14.0
170318124003,acs2024_5yr,1206.0,417.0,34.0,30.0,987.0,377.0,50.0,74.0,0.0,13.0,21.0,22.0,0.0,13.0,0.0,13.0,114.0,158.0
170318125001,acs2024_5yr,691.0,279.0,12.0,19.0,208.0,111.0,471.0,281.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0
170318125002,acs2024_5yr,823.0,244.0,186.0,127.0,505.0,184.0,87.0,67.0,0.0,13.0,11.0,16.0,0.0,13.0,0.0,13.0,34.0,39.0
170318125003,acs2024_5yr,833.0,234.0,21.0,26.0,450.0,161.0,289.0,125.0,0.0,13.0,13.0,19.0,0.0,13.0,0.0,13.0,60.0,79.0
170318125004,acs2024_5yr,1030.0,380.0,81.0,89.0,810.0,327.0,105.0,86.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,34.0,52.0
170318126001,acs2024_5yr,659.0,242.0,16.0,26.0,274.0,195.0,315.0,197.0,0.0,13.0,22.0,25.0,0.0,13.0,0.0,13.0,32.0,40.0
170318126002,acs2024_5yr,946.0,299.0,31.0,50.0,678.0,231.0,147.0,133.0,0.0,13.0,64.0,79.0,0.0,13.0,0.0,13.0,26.0,41.0
170318126003,acs2024_5yr,1231.0,319.0,65.0,47.0,606.0,252.0,389.0,196.0,0.0,13.0,100.0,122.0,0.0,13.0,0.0,13.0,71.0,66.0
170318126004,acs2024_5yr,717.0,204.0,38.0,42.0,488.0,183.0,184.0,141.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,7.0,12.0
170318127001,acs2024_5yr,878.0,202.0,156.0,113.0,518.0,154.0,78.0,45.0,0.0,13.0,80.0,55.0,0.0,13.0,0.0,13.0,46.0,36.0
170318127002,acs2024_5yr,1087.0,307.0,221.0,174.0,732.0,250.0,102.0,105.0,0.0,13.0,18.0,29.0,0.0,13.0,0.0,13.0,14.0,26.0
170318127003,acs2024_5yr,1294.0,399.0,125.0,114.0,769.0,353.0,321.0,133.0,0.0,13.0,33.0,34.0,0.0,13.0,0.0,13.0,46.0,56.0
170318128011,acs2024_5yr,2370.0,523.0,161.0,121.0,1637.0,348.0,423.0,368.0,0.0,13.0,101.0,87.0,0.0,13.0,21.0,25.0,27.0,42.0
170318128012,acs2024_5yr,885.0,413.0,67.0,80.0,367.0,136.0,402.0,394.0,0.0,13.0,29.0,47.0,0.0,13.0,0.0,13.0,20.0,32.0
170318128021,acs2024_5yr,1049.0,444.0,60.0,58.0,727.0,415.0,204.0,192.0,0.0,13.0,11.0,17.0,0.0,13.0,0.0,13.0,47.0,42.0
170318128022,acs2024_5yr,870.0,447.0,32.0,36.0,222.0,113.0,309.0,278.0,0.0,13.0,86.0,85.0,0.0,13.0,0.0,13.0,221.0,303.0
170318128023,acs2024_5yr,857.0,312.0,134.0,137.0,540.0,211.0,72.0,66.0,0.0,13.0,33.0,37.0,0.0,13.0,37.0,55.0,41.0,44.0
170318129001,acs2024_5yr,668.0,208.0,18.0,26.0,533.0,179.0,55.0,69.0,0.0,13.0,28.0,31.0,0.0,13.0,0.0,13.0,34.0,53.0
170318129002,acs2024_5yr,1305.0,361.0,102.0,89.0,731.0,255.0,377.0,287.0,0.0,13.0,38.0,35.0,0.0,13.0,0.0,13.0,57.0,46.0
170318129003,acs2024_5yr,1413.0,410.0,367.0,411.0,765.0,192.0,154.0,101.0,0.0,13.0,29.0,29.0,0.0,13.0,0.0,13.0,98.0,77.0
170318129004,acs2024_5yr,1320.0,348.0,24.0,23.0,853.0,202.0,314.0,229.0,0.0,13.0,56.0,35.0,0.0,13.0,0.0,13.0,73.0,46.0
170318130001,acs2024_5yr,374.0,174.0,54.0,68.0,215.0,111.0,48.0,48.0,0.0,13.0,11.0,18.0,0.0,13.0,0.0,13.0,46.0,49.0
170318130002,acs2024_5yr,878.0,242.0,79.0,72.0,409.0,174.0,208.0,110.0,0.0,13.0,62.0,79.0,0.0,13.0,0.0,13.0,120.0,120.0
170318130003,acs2024_5yr,546.0,236.0,84.0,124.0,305.0,131.0,47.0,43.0,0.0,13.0,16.0,18.0,0.0,13.0,0.0,13.0,94.0,63.0
170318130004,acs2024_5yr,777.0,212.0,128.0,134.0,589.0,213.0,51.0,60.0,0.0,13.0,9.0,14.0,0.0,13.0,0.0,13.0,0.0,13.0
170318130005,acs2024_5yr,1103.0,530.0,31.0,51.0,845.0,397.0,111.0,166.0,0.0,13.0,43.0,58.0,0.0,13.0,5.0,9.0,68.0,69.0
170318131001,acs2024_5yr,645.0,188.0,50.0,33.0,300.0,123.0,236.0,153.0,0.0,13.0,11.0,17.0,0.0,13.0,0.0,13.0,48.0,45.0
170318131002,acs2024_5yr,749.0,283.0,111.0,86.0,241.0,87.0,356.0,266.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,41.0,48.0
170318131003,acs2024_5yr,566.0,270.0,30.0,45.0,370.0,172.0,105.0,121.0,0.0,13.0,25.0,31.0,0.0,13.0,0.0,13.0,36.0,35.0
170318131004,acs2024_5yr,456.0,124.0,52.0,36.0,287.0,97.0,46.0,46.0,0.0,13.0,38.0,44.0,0.0,13.0,0.0,13.0,33.0,51.0
170318131005,acs2024_5yr,1840.0,524.0,251.0,153.0,911.0,212.0,71.0,63.0,0.0,13.0,472.0,494.0,0.0,13.0,0.0,13.0,135.0,107.0
170318132001,acs2024_5yr,619.0,254.0,80.0,94.0,324.0,154.0,78.0,106.0,0.0,13.0,55.0,59.0,0.0,13.0,0.0,13.0,82.0,94.0
170318132002,acs2024_5yr,944.0,238.0,159.0,139.0,614.0,180.0,93.0,116.0,0.0,13.0,31.0,31.0,0.0,13.0,0.0,13.0,47.0,46.0
170318132003,acs2024_5yr,449.0,169.0,0.0,13.0,311.0,131.0,53.0,85.0,0.0,13.0,66.0,72.0,0.0,13.0,0.0,13.0,19.0,15.0
170318132004,acs2024_5yr,791.0,232.0,65.0,50.0,500.0,211.0,108.0,96.0,0.0,13.0,84.0,76.0,0.0,13.0,12.0,19.0,22.0,28.0
170318132005,acs2024_5yr,1680.0,463.0,103.0,117.0,1176.0,466.0,111.0,96.0,0.0,13.0,95.0,121.0,0.0,13.0,0.0,13.0,195.0,156.0
