block_geoid,pop,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_other,nh_two_plus,hu_total,hu_occupied,hu_vacant,gq_total,gq_institutional,gq_noninstitutional
170318121001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170318121001001,4,0,0,4,0,0,0,0,0,2,2,0,0,0,0
170318121001002,20,2,7,9,0,0,0,0,2,26,26,0,0,0,0
170318121001003,27,1,1,22,0,0,0,0,3,8,8,0,0,0,0
170318121001004,10,1,2,0,0,2,0,0,5,8,5,3,0,0,0
170318121001005,27,1,11,8,1,2,0,2,2,8,8,0,0,0,0
170318121001006,50,2,8,33,0,3,1,0,3,16,11,5,0,0,0
170318121001007,60,3,11,43,0,0,0,0,3,26,26,0,0,0,0
170318121001008,54,10,23,12,0,0,0,0,9,22,22,0,0,0,0
170318121001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170318121001010,20,0,8,8,0,1,0,0,3,8,8,0,0,0,0
170318121001011,30,1,13,12,0,0,0,0,4,7,7,0,0,0,0
170318121001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170318121001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170318121001014,20,3,14,3,0,0,0,0,0,8,5,3,0,0,0
170318121001015,17,2,8,6,0,0,0,1,0,8,7,1,0,0,0
170318121001016,35,8,8,13,0,2,0,0,4,9,9,0,0,0,0
170318121001017,81,8,7,65,0,0,0,0,1,39,28,11,0,0,0
170318121001018,76,5,18,47,0,3,0,0,3,43,43,0,0,0,0
170318121001019,65,3,32,14,0,7,0,0,9,19,19,0,0,0,0
170318121001020,49,5,19,24,0,0,0,0,1,17,11,6,0,0,0
170318121001021,25,3,12,5,0,1,0,0,4,8,8,0,0,0,0
170318121001022,29,2,10,13,0,1,0,0,3,11,5,6,0,0,0
170318121001023,24,1,14,9,0,0,0,0,0,10,10,0,0,0,0
170318121001024,47,3,23,13,0,1,0,0,7,10,10,0,0,0,0
170318121001025,61,5,44,5,0,5,0,0,2,20,20,0,0,0,0
170318121001026,76,7,45,21,0,0,0,1,2,20,20,0,0,0,0
170318121001027,55,3,32,15,0,0,0,0,5,20,20,0,0,0,0
170318121002000,74,2,7,62,0,2,0,0,1,35,35,0,0,0,0
170318121002001,69,7,26,23,0,1,0,0,12,21,14,7,0,0,0
170318121002002,49,2,24,18,0,0,0,0,5,19,19,0,0,0,0
170318121002003,55,13,32,4,0,0,0,0,6,17,17,0,0,0,0
170318121002004,43,12,24,3,0,3,0,0,1,18,18,0,0,0,0
170318121002005,41,4,28,6,0,2,0,0,1,18,18,0,0,0,0
170318121002006,23,3,14,0,0,2,0,0,4,5,5,0,0,0,0
170318121002007,56,12,32,5,0,3,0,0,4,19,16,3,0,0,0
170318121002008,41,2,29,9,0,1,0,0,0,18,15,3,0,0,0
170318121002009,62,0,33,21,0,3,0,0,5,18,18,0,0,0,0
170318121002010,44,5,33,1,0,5,0,0,0,17,17,0,0,0,0
170318121002011,93,2,16,74,0,0,0,0,1,43,43,0,0,0,0
170318121002012,148,3,33,103,0,5,0,1,3,64,64,0,0,0,0
170318121002013,48,7,25,9,0,2,0,0,5,16,16,0,0,0,0
170318121002014,46,7,31,6,0,0,0,0,2,16,16,0,0,0,0
170318121002015,40,5,25,9,0,1,0,0,0,14,14,0,0,0,0
170318121002016,53,0,35,12,0,0,0,0,6,20,20,0,0,0,0
170318121002017,46,4,30,1,0,2,0,0,9,17,17,0,0,0,0
170318121003000,62,0,49,8,0,3,0,0,2,19,19,0,0,0,0
170318121003001,39,2,25,9,0,3,0,0,0,14,5,9,0,0,0
170318121003002,31,3,20,3,0,2,0,0,3,14,14,0,0,0,0
170318121003003,49,11,28,2,0,3,0,3,2,17,17,0,0,0,0
170318121003004,40,8,21,2,0,1,0,0,8,7,7,0,0,0,0
