district,zone,area_sqm,share
Frank Lloyd Wright,DT-1,2042.1930644671925,0.0012
Frank Lloyd Wright,DT-2,8.663019833741537e-08,0.0
Frank Lloyd Wright,I,81883.33045651276,0.0475
Frank Lloyd Wright,NC,29077.074351623414,0.0169
Frank Lloyd Wright,OS,25842.72991724725,0.015
Frank Lloyd Wright,P-R,2243.9828205595068,0.0013
Frank Lloyd Wright,R-1,402715.37577224645,0.2335
Frank Lloyd Wright,R-2,896163.4696544098,0.5195
Frank Lloyd Wright,R-3-50,25196.4014310272,0.0146
Frank Lloyd Wright,R-4,7075.890236261303,0.0041
Frank Lloyd Wright,R-5,131410.61472478622,0.0762
Frank Lloyd Wright,R-6,9256.58025892031,0.0054
Frank Lloyd Wright,R-7,112122.73332575375,0.065
Gunderson,MS,1637.9754831677662,0.0108
Gunderson,R-3-50,135710.85098851917,0.8982
Gunderson,R-5,9060.136051645448,0.06
Gunderson,R-7,4675.993490744229,0.0309
Ridgeland - Oak Park,DT-1,1.6354502595516962e-06,0.0
Ridgeland - Oak Park,DT-2,32383.06467750837,0.0211
Ridgeland - Oak Park,DT-3,21914.82267069165,0.0143
Ridgeland - Oak Park,H,31225.087002439643,0.0203
Ridgeland - Oak Park,I,39980.91079454301,0.026
Ridgeland - Oak Park,MS,1040.4863021837934,0.0007
Ridgeland - Oak Park,NC,63803.82266365473,0.0416
Ridgeland - Oak Park,OS,25637.83555050306,0.0167
Ridgeland - Oak Park,P-R,51679.47940137178,0.0337
Ridgeland - Oak Park,R-2,197974.90386209343,0.1289
Ridgeland - Oak Park,R-3-50,474705.5989947339,0.3092
Ridgeland - Oak Park,R-5,177584.89842687504,0.1157
Ridgeland - Oak Park,R-6,4843.001241320496,0.0032
Ridgeland - Oak Park,R-7,412656.0571891642,0.2688
