pin,class,nbhd,mailed_tot,lat,lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,pin_num_cards
16051000130000,203,27010,59000,41.9085691,-87.78435549,"1234 EDMER AVE",None,1534,5440,1930,Single-Family,1
16051000140000,204,27010,65000,41.90846533,-87.78433053,"1230 EDMER AVE",None,2341,5440,1926,Single-Family,1
16051000150000,204,27010,72000,41.90835497,-87.78433148,"1226 EDMER AVE",None,3044,5440,1928,Single-Family,1
16051000160000,204,27010,65000,41.9082446,-87.78433242,"1222 EDMER AVE",None,1813,5440,1926,Single-Family,1
16051000170000,204,27010,67000,41.90813427,-87.78434218,"1220 EDMER AVE",None,2191,5400,1926,Single-Family,1
16051000180000,204,27010,66000,41.90803043,-87.78435129,"1216 EDMER AVE",None,2236,5400,1926,Single-Family,1
16051000190000,204,27010,58000,41.90790706,-87.78434413,"1212 EDMER AVE",None,1806,5360,1927,Single-Family,1
16051000200000,204,27010,62000,41.90780313,-87.78433621,"1210 EDMER AVE",None,2228,5360,1927,Single-Family,1
16051000210000,204,27010,71000,41.90769272,-87.78432834,"1206 EDMER AVE",None,2881,5360,1926,Single-Family,1
16051000220000,205,27010,62000,41.90758896,-87.78435507,"1204 EDMER AVE",None,2038,5320,1926,Single-Family,1
16051000230000,206,27010,85000,41.90747208,-87.78434785,"1200 EDMER AVE",None,3144,5644,1926,Single-Family,1
16051000240000,204,27010,75000,41.90856623,-87.78375585,"1235 N RIDGELAND AVE",None,2982,6000,1926,Single-Family,1
16051000250000,204,27010,67000,41.90845582,-87.78374798,"1231 N RIDGELAND AVE",None,2292,6000,1931,Single-Family,1
16051000260000,205,27010,66000,41.90835836,-87.78368774,"1227 N RIDGELAND AVE",None,2167,6000,1926,Single-Family,1
16051000270000,206,27010,72000,41.908248,-87.78368868,"1225 N RIDGELAND AVE",None,2246,6000,1925,Single-Family,1
16051000280000,205,27010,65000,41.90815059,-87.78368952,"1221 N RIDGELAND AVE",None,1490,6000,1927,Single-Family,1
16051000290000,206,27010,76000,41.90802731,-87.78369939,"1217 N RIDGELAND AVE",None,2417,6000,1926,Single-Family,1
16051000300000,205,27010,66000,41.90792329,-87.78367385,"1213 N RIDGELAND AVE",None,2088,6000,1927,Single-Family,1
16051000340000,206,27010,78000,41.90747522,-87.78365185,"1201 N RIDGELAND AVE",None,2444,6366,1928,Single-Family,1
16051000350000,205,27010,72000,41.90779997,-87.78367491,"1211 N RIDGELAND AVE",None,2132,9000,1926,Single-Family,1
16051000360000,206,27010,94000,41.9075988,-87.78370306,"1205 N RIDGELAND AVE",None,3394,9000,1926,Single-Family,1
16051000380000,517,27010,299134,41.90878018,-87.78446328,"6323 NORTH AVE",,,,,,
16051000390000,517,27010,446310,41.90878742,-87.78372394,"6315 NORTH AVE",,,,,,
16051010010000,522,27030,180000,41.90883438,-87.78304002,"6249 NORTH AVE",,,,,,
16051010020000,EX,27030,0,,,"6211 NORTH AVE",,,,,,
16051010030000,EX,27030,0,,,"6235 NORTH AVE",,,,,,
16051010040000,EX,27030,0,,,"6235 NORTH AVE",,,,,,
16051010050000,EX,27030,0,41.90885989,-87.78249361,"6205 NORTH AVE",,,,,,
16051010060000,EX,27030,0,41.90885408,-87.78240224,"6235 NORTH AVE",,,,,,
16051010070000,EX,27030,0,,,"6201 NORTH AVE",,,,,,
