district,designated,yrblt,address,units,type,zone,yr_source,building_id
Frank Lloyd Wright,1972,1973,221 N KENILWORTH AVE,81.0,condo,R-1,condo_chars,1607115047
Frank Lloyd Wright,1972,1973,325 N OAK PARK AVE,12.0,condo,R-5,condo_chars,1607105038
Frank Lloyd Wright,1972,1980,331 N MARION ST,9.0,condo,R-7,condo_chars,1607107024
Frank Lloyd Wright,1972,1981,219 N GROVE AVE,6.0,condo,R-7,condo_chars,1607116016
Frank Lloyd Wright,1972,1981,300 N MAPLE AVE,16.0,condo,R-7,condo_chars,1607107023
Frank Lloyd Wright,1972,1999,319 CHICAGO AVE,2.0,small_mf,R-6,char_yrblt,16081000030000
Frank Lloyd Wright,1972,2001,611 FOREST AVE,2.0,condo,R-2,condo_chars_newbuild,1606319062
Ridgeland - Oak Park,1994,2001,324 WISCONSIN AVE,4.0,condo,R-7,condo_chars_newbuild,1607316055
Ridgeland - Oak Park,1994,2001,407 S OAK PARK AVE,9.0,condo,R-7,condo_chars_newbuild,1607327039
Ridgeland - Oak Park,1994,2005,106 S RIDGELAND AVE,116.0,condo,NC,condo_chars_unverified,1608300030
Ridgeland - Oak Park,1994,2006,328 S OAK PARK AVE,3.0,condo,R-7,condo_chars_newbuild,1607412036
Ridgeland - Oak Park,1994,2014,134 S GROVE AVE,2.0,small_mf,R-5,char_yrblt,16073060110000
Ridgeland - Oak Park,1994,2023,261 WASHINGTON BLVD,32.0,large_mf,R-7,class_history,16083190010000
Ridgeland - Oak Park,1994,2023,835 LAKE ST,172.0,large_mf,R-7,class_history,16071290130000
