district,address,units,recorded_condo_year,predecessor_year_built,zone
Rest of Oak Park,1121 S OAK PARK AVE,7.0,2004.0,1909.0,R-5
Rest of Oak Park,254 CHICAGO AVE,5.0,2006.0,1898.0,NC
Rest of Oak Park,421 S RIDGELAND AVE,7.0,2005.0,1910.0,R-7
Rest of Oak Park,431 S KENILWORTH AVE,4.0,2001.0,1923.0,R-7
Rest of Oak Park,916 AUSTIN AVE,10.0,2001.0,1923.0,R-7
Ridgeland - Oak Park,125 N EUCLID AVE,25.0,2000.0,,DT-2
Ridgeland - Oak Park,166 N HUMPHREY AVE,16.0,2000.0,1922.0,R-7
Ridgeland - Oak Park,257 W WASHINGTON BLVD,20.0,2001.0,1894.0,R-7
Ridgeland - Oak Park,431 S HARVEY AVE,8.0,2001.0,1894.0,R-7
Ridgeland - Oak Park,615 SOUTH BLVD,12.0,2000.0,1890.0,R-7
